date,ndwi_mean,image_id
2023-04-15,-0.24548973132686178,S2A_MSIL2A_20230415T090551_N0509_R050_T35TMK_20230415T133959
2023-04-30,-0.28530973457371656,S2B_MSIL2A_20230430T090559_N0509_R050_T35TMK_20230430T105906
2023-06-24,-0.31306890467288345,S2A_MSIL2A_20230624T090601_N0509_R050_T35TMK_20230624T134457
2023-06-29,-0.3204124101186042,S2B_MSIL2A_20230629T090559_N0509_R050_T35TMK_20230629T122252
2023-07-04,-0.22714867321919505,S2A_MSIL2A_20230704T090601_N0509_R050_T35TMK_20230704T140455
2023-07-09,-0.32027572291634,S2B_MSIL2A_20230709T090559_N0509_R050_T35TMK_20230709T104657
2023-07-14,-0.31599340640196333,S2A_MSIL2A_20230714T090601_N0509_R050_T35TMK_20230714T140259
2023-07-19,-0.2968590996610812,S2B_MSIL2A_20230719T090559_N0509_R050_T35TMK_20230719T104736
2023-07-24,-0.30975310449864074,S2A_MSIL2A_20230724T090601_N0509_R050_T35TMK_20230724T134358
2023-07-29,-0.31124598943430454,S2B_MSIL2A_20230729T090559_N0509_R050_T35TMK_20230729T110019
2023-08-03,-0.29539132724086453,S2A_MSIL2A_20230803T090601_N0509_R050_T35TMK_20230803T133801
2023-08-13,-0.3092835260421622,S2A_MSIL2A_20230813T090601_N0509_R050_T35TMK_20230813T155857
2023-08-18,-0.26724652369083096,S2B_MSIL2A_20230818T090559_N0509_R050_T35TMK_20230818T114753
2023-08-23,-0.2759335651953369,S2A_MSIL2A_20230823T090601_N0509_R050_T35TMK_20230823T131601
2023-08-28,-0.29922867724975283,S2B_MSIL2A_20230828T090559_N0509_R050_T35TMK_20230828T121048
2023-09-07,-0.24542570519867324,S2B_MSIL2A_20230907T090559_N0509_R050_T35TMK_20230907T123839
2023-09-12,-0.28844876173873535,S2A_MSIL2A_20230912T090601_N0509_R050_T35TMK_20230912T132255
2023-09-22,-0.25621437171290323,S2A_MSIL2A_20230922T090701_N0509_R050_T35TMK_20230922T134101
2023-10-07,-0.29643261309023905,S2B_MSIL2A_20231007T090749_N0509_R050_T35TMK_20231007T110050
2023-10-12,-0.30474913878119925,S2A_MSIL2A_20231012T090911_N0509_R050_T35TMK_20231012T133754
2023-11-01,-0.3266901352407327,S2A_MSIL2A_20231101T091121_N0509_R050_T35TMK_20231101T133500
2023-11-06,-0.32832299634024975,S2B_MSIL2A_20231106T091059_N0509_R050_T35TMK_20231106T110259
2023-11-16,-0.33354674419541613,S2B_MSIL2A_20231116T091149_N0509_R050_T35TMK_20231116T110712
2023-12-31,-0.19199574038192632,S2A_MSIL2A_20231231T091401_N0510_R050_T35TMK_20231231T123547
2024-01-05,-0.27865601208561686,S2B_MSIL2A_20240105T091259_N0510_R050_T35TMK_20240105T105729
2024-01-10,-0.1202213493595127,S2A_MSIL2A_20240110T091341_N0510_R050_T35TMK_20240110T121951
2024-01-30,-0.1796956054190072,S2A_MSIL2A_20240130T091221_N0510_R050_T35TMK_20240130T122055
2024-04-09,-0.282131492194185,S2A_MSIL2A_20240409T090551_N0510_R050_T35TMK_20240409T123552
2024-04-14,-0.2986867652161128,S2B_MSIL2A_20240414T090559_N0510_R050_T35TMK_20240414T104805
2024-06-03,-0.3467055911579132,S2B_MSIL2A_20240603T090559_N0510_R050_T35TMK_20240603T103743
2024-06-08,-0.32670953999142266,S2A_MSIL2A_20240608T090601_N0510_R050_T35TMK_20240608T122944
2024-06-18,-0.2977257773245938,S2A_MSIL2A_20240618T090601_N0510_R050_T35TMK_20240618T122152
2024-06-23,-0.3109757892182746,S2B_MSIL2A_20240623T090559_N0510_R050_T35TMK_20240623T105019
2024-06-28,-0.31239450788244133,S2A_MSIL2A_20240628T090601_N0510_R050_T35TMK_20240628T123150
2024-07-08,-0.3180806546049286,S2A_MSIL2A_20240708T090601_N0510_R050_T35TMK_20240708T123850
2024-07-13,-0.29898636128443257,S2B_MSIL2A_20240713T090559_N0510_R050_T35TMK_20240713T104851
2024-07-18,-0.2859145101225711,S2A_MSIL2A_20240718T090551_N0510_R050_T35TMK_20240718T122350
2024-07-28,-0.30170275745383557,S2A_MSIL2A_20240728T090601_N0511_R050_T35TMK_20240728T152859
2024-08-02,-0.30201296885835693,S2B_MSIL2A_20240802T090559_N0511_R050_T35TMK_20240802T103527
2024-08-12,-0.2942425954727905,S2B_MSIL2A_20240812T090559_N0511_R050_T35TMK_20240812T121111
2024-08-17,-0.28474225579790297,S2A_MSIL2A_20240817T090551_N0511_R050_T35TMK_20240817T134550
2024-09-21,-0.2961116133514922,S2B_MSIL2A_20240921T090559_N0511_R050_T35TMK_20240921T115053
2024-09-26,-0.28517450641780145,S2A_MSIL2A_20240926T090731_N0511_R050_T35TMK_20240926T135250
2024-10-21,-0.2833476854947282,S2B_MSIL2A_20241021T090929_N0511_R050_T35TMK_20241021T111444
2024-10-26,-0.30736291828059303,S2A_MSIL2A_20241026T091051_N0511_R050_T35TMK_20241026T122806
2024-11-25,-0.2449968214343152,S2A_MSIL2A_20241125T091321_N0511_R050_T35TMK_20241125T120954
